animeTitle	Last Exile
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.81
animeUsers	63595
animeRank	
animePopularity	1128
animeDescription	"In the world of Prester, flight is the dominant mode of transportation, made possible by Claudia Fluid: a liquidized form of the crystals that are produced on the planet. An organization known solely as ""the Guild"" has absolute authority over the skies, with a monopoly on the engines that make use of this fluid. Moreover, as ecological disasters destabilize the warring countries of Anatoray and Disith, the Guild also arbitrates in the disputes between the two. Caught in the middle of the conflict are Sky Couriers, piloting small, two-person vanships that fly freely through the sky.

Last Exile follows the adventures of two teenagers who dream of surpassing their parents: Claus Valca, son of a famous vanship pilot, and Lavie Head, Claus' best friend and navigator. Their job as couriers entails passing through an air current called the Grand Stream that separates the hostile nations, which even standard airships struggle to survive. However, when they take on a high-rated delivery to bring an orphan girl named Alvis Hamilton to the battleship Silvana, they get dragged into a much greater conflict that pits them against the might of the Guild.

[Written by MAL Rewrite]"
animeRelated	['Last Exile: Sunadokei no Tabibito', 'Last Exile: Ginyoku no Fam', 'Last Exile: Ginyoku no Fam - Adjournment']
animeCharacters	['Eraclea, Dio', 'Head, Lavie', 'Valca, Claus', 'Hamilton, Alvis E.', 'Row, Alex', 'Wisła, Tatiana', 'Lucciola', 'Shetland, Mullin', 'Forrester, Sophia', 'Agrew, Alister']
animeVoices	['Noda, Junko', 'Saitou, Chiwa', 'Asano, Mayumi', 'Shiraki, Anna', 'Morikawa, Toshiyuki', 'Kitamura, Eri', 'Hanba, Tomoe', 'Miki, Shinichiro', 'Yamazaki, Wakana', 'Kuwatani, Natsuko']
animeStaff	[['Chigira, Kouichi', 'Director, Series Composition'], ['Tsuruoka, Youta', 'Sound Director'], ['Aoki, Ei', 'Episode Director, Storyboard'], ['Tsuchiya, Hiroyuki', 'Episode Director']]
