animeTitle	Kiku-chan to Ookami
animeType	Special
animeNumEpisode	1
releaseDate	2008-08-13 00:00:00
endDate	
animeNumMembers	351
animeScore	
animeUsers	
animeRank	16729
animePopularity	14016
animeDescription	"""Kiku-chan to Okami"" is an adaptation of ""Grave of the Fireflies"" author Akiyuki Nosaka’s short story ""Toshi-Oi Mesu-Okami to Onna no Ko no Hanashi"" (The Story of the Old Mother Wolf and the Girl), which follows a girl and the wolf in the fields of WWII Manchuria who watches over her like a mother.

(Source: AniDB)"
animeRelated	['Futatsu no Kurumi', 'Aoi Hitomi no Onnanoko no Ohanashi', 'Yakeato no, Okashi no Ki', 'Boku no Boukuugou', 'Umigame to Shounen', 'Tako ni Natta Okaasan', 'Chiisai Sensuikan ni Koi wo Shita Dekasugiru Kujira no Hanashi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
