animeTitle	Kotarou wa Hitorigurashi
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2022-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16675
animeDescription	"The ""apartment comedy with laughs and tears"" centers on a 4-year-old boy named Kotarou Satоou, who moves next door to Shin Karino, an unsuccessful manga artist. Kotarou has no parents and lives alone. Not only does he seem to earn a living, he actually seems more put together than his own strange neighbors.

(Source: ANN)"
animeRelated	['Kotarou wa Hitorigurashi']
animeCharacters	['Karino, Shin', 'Satou, Kotarou']
animeVoices	['Masuda, Toshiki', 'Kugimiya, Rie']
animeStaff	[['Makino, Tomoe', 'Director'], ['Satou, Yuu', 'Series Composition'], ['Kimura, Tomomi', 'Character Design'], ['Tsumura, Mami', 'Original Creator']]
