animeTitle	b'Qin Shi Ming Yue: Yi Zhe Ru Shi'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'This special focuses on Duanmu Rong. It tells a story happened when she was an apprentice doctor.'
animeRelated	[b'Qin Shi Ming Yue: Bai Bu Fei Jian', b'Qin Shi Ming Yue: Zhu Zi Bai Jia', b'Qin Shi Ming Yue: Ye Jin Tianming', b'Qin Shi Ming Yue: Wanli Changcheng', b'Qin Shi Ming Yue 3D: Dianying Longteng Wanli', b'Qin Shi Ming Yue: Junlin Tianxia']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
