animeTitle	b'Penguin Musume\xe2\x99\xa5Heart'
animeType	b'ONA'
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	5440
animeRank	
animePopularity	
animeDescription	"b""Sakura Nankyoku is a total otaku. Due to a fluke, she gets elected as her class' Student Council President. Everything takes off from there into a series of crazy misadventures revolving around Sakura, her family, and her classmates.\n\n(Source: ANN)"""
animeRelated	[b'Penguin Musume', b'Penguin Musume\xe2\x99\xa5Heart Special']
animeCharacters	[b'Nankyoku, Sakura', b'Kurio, Nene', b'Etorofu, Kujira', b'Whitebear, Mary Chupacabra W.', b'Chi, Cha', b'Ijuin, Kare', b'Houjiro, Maguro', b'Sebastian', b'Hojiro, Saki', b'Miho-chan-sensei']
animeVoices	[b'\nEnoki, Azusa\nJapanese\n', b'\nNanjou, Yoshino\nJapanese\n', b'\nIse, Mariya\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nNogawa, Sakura\nJapanese\n', b'\nSuzuki, Yuto\nJapanese\n', b'\nSuzuki, Masami\nJapanese\n', b'\nIshii, Kouji\nJapanese\n', b'\nMiruno, Jun\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsui, Hitoyuki\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nShiraishi, Michita\n\nEpisode Director\n\n', b'\nHiguchi, Tatsuto\n\nScript\n\n']
