animeTitle	Mecha☆Afro-kun
animeType	OVA
animeNumEpisode	1
releaseDate	2010-09-03 00:00:00
endDate	
animeNumMembers	339
animeScore	
animeUsers	
animeRank	17257
animePopularity	14105
animeDescription	"It happened in Japan in the near future. The term ""Company"" has been joined in the latest salary cyborg, the Afro-kun ☆ mechanism."
animeRelated	[]
animeCharacters	['Pon, Fujio', 'Mitsuo']
animeVoices	[]
animeStaff	[['Hanakuma, Yusaku', 'Director, Script, Original Creator']]
