animeTitle	Xabungle Graffiti
animeType	Movie
animeNumEpisode	1
releaseDate	1983-07-09 00:00:00
endDate	
animeNumMembers	
animeScore	5.67
animeUsers	147
animeRank	
animePopularity	11891
animeDescription	A movie recapping the events of the Xabungle TV series.
animeRelated	['Sentou Mecha Xabungle']
animeCharacters	['Amos, Jiron', 'Cargo, Elchi', 'Uralo, Rag', 'Big, Fatman', 'Chill', 'Sharon, Timp', 'Biel', 'Rank, Arthur', 'Horla, Kidd', 'Memuma, Cotsett']
animeVoices	['Ootaki, Shinya', 'Ginga, Banjou']
animeStaff	[['Tomino, Yoshiyuki', 'Director, Original Creator'], ['Kushida, Akira', 'Theme Song Performance'], ['MIQ', 'Theme Song Performance'], ['Yatate, Hajime', 'Original Creator']]
