animeTitle	Asura
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.04
animeUsers	13176
animeRank	
animePopularity	3314
animeDescription	Asura is an unrelentingly dark drama that follows the struggles of a young boy who did whatever it took to survive during a time of war and famine in medieval Japan.
animeRelated	['Asura']
animeCharacters	['Asura', 'Shichirou', 'Houshi', 'Wakasa', 'Jitou']
animeVoices	['Nozawa, Masako', 'Hirata, Hiroaki', 'Kitaooji, Kinya', 'Hayashibara, Megumi', 'Genda, Tesshou']
animeStaff	[['Satou, Keiichi', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['Kominami, Yasuha', 'Theme Song Lyrics, Theme Song Composition, Theme Song Performance'], ['Watanabe, Kumiko', 'Background Art']]
