animeTitle	Nintama Rantarou: Ninjutsu Gakuen to Nazo no Onna - Kore wa Jiken Da yo! no Dan
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14614
animeDescription	While Rantarou and Fushikizou are out running an errand, Fushikizou happens to spot a mysterious woman who's being chased by some of the Tasogaredoki Castle ninjas. It turns out the woman is actually the disguised leader of the Dokutake Castle ninjas, Hieta Happousai, and the entire Ninjutsu Academy ends up getting involved in the events. 
animeRelated	['Nintama Rantarou']
animeCharacters	['Settsuno, Kirimaru', 'Fukutomi, Shinbei', 'Inadera, Rantarou', 'Hieta, Happousai', 'Tsurumachi, Fushikizou', 'Doi, Hansuke', 'Yamada, Rikichi', 'Santanda, Kazuma', 'Moroizumi, Sonnamon', 'Ikeda, Saburouji']
animeVoices	['Tanaka, Mayumi', 'Ichiryuusai, Teiyuu', 'Takayama, Minami', 'Iizuka, Shouzou', 'Seki, Toshihiko', 'Okano, Kousuke', 'Shimono, Hiro', 'Yonaga, Tsubasa', 'Shinomiya, Fuko']
animeStaff	[['Urasawa, Yoshio', 'Script'], ['Makaino, Kouji', 'Music'], ['Amako, Soubee', 'Original Creator']]
