animeTitle	b'Jewelpet Twinkle\xe2\x98\x86'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.38
animeUsers	3654
animeRank	
animePopularity	
animeDescription	"b""In Jewel Land, Jewelpets, creatures who has the natural ability to use magic lived in harmony with the Witches, attending the School of Witchcraft and Wizardry to learn to use magic with their Jewel Eyes. However for Ruby, a white Japanese Hare whose magic sometimes fail, is appointed to go to the Human World to search for her partner. But when she used the card the magicians gave her, she was sent to the Human World by accident. In the Human World, A girl named Akari Sakura met her on the beach on her way to school. At first, Akari can't understand her due to her Jewel Land Language until Ruby took a special candy so she could speak and understand human language. As the day passes, Ruby knew about her problems and later apologized. A Jewel Charm appeared on Akari's hand and she realized it that she's chosen by Ruby to be her partner. After that, she decided to enter the Jewel Star Grand Prix, on the prize is that any wish that they wanted will be granted. Will she be the Next Jewel Star and her wish be granted in the end? Or It'll just end in one big disaster...\n\n(Source: Wikipedia) """
animeRelated	[b'Jewel Pet', b'Jewelpet', b'Jewelpet Magical Change', b'Jewelpet: Attack Chance!?', b'Jewelpet Twinkle\xe2\x98\x86: Hohoemi no Niji ni Dokki\xe2\x98\x86Doki!', b'Happy\xe2\x98\x86Twinkle']
animeCharacters	[b'Sakura, Akari', b'Ruby', b'Sapphie', b'Labra', b'Garnet', b'Marigold Mackenzie, Miria', b'Sara', b'Sango', b'Jinnai, Yuuma', b'Angela']
animeVoices	[b'\nTakamori, Natsumi\nJapanese\n', b'\nSaitou, Ayaka\nJapanese\n', b'\nSasaki, Nozomi\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nEnoki, Azusa\nJapanese\n', b'\nShimizu, Ai\nJapanese\n', b'\nTachibana, Shinnosuke\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Takashi\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nAndou, Ken\n\nEpisode Director\n\n', b'\nIshiodori, Hiroshi\n\nEpisode Director, Storyboard\n\n']
