animeTitle	b'Juusenshi Gulkeeva'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	323
animeRank	
animePopularity	
animeDescription	b'The world we live in is called Earthside in this story. There are the other worlds called Nosfertia, Heavenstia, and Eternalia. When Darknoids from Nosfertia begun invasion to Earthside, Heavenstia sent 3 Animanoids (beast-humans) to prevent it. The lead character Touya had believed that he was a mere human but found he was actually a being of Eternalia. With the help of 3 Animanoids, Touya fights to defend Earthside. '
animeRelated	[]
animeCharacters	[b'Greyfass', b'Shinjou, Touya']
animeVoices	[b'\nIchijo, Kazuya\nJapanese\n', b'\nIwanaga, Tetsuya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHidaka, Masamitsu\n\nDirector, Script, Storyboard\n\n', b'\nFujino, Sadayoshi\n\nSound Director\n\n', b'\nTaniguchi, Gorou\n\nEpisode Director, Storyboard\n\n', b'\nInoue, Toshiki\n\nScript\n\n']
