animeTitle	Ichiban Ushiro no Daimaou
animeType	TV
animeNumEpisode	12
releaseDate	2010-04-03 00:00:00
endDate	2010-06-19 00:00:00
animeNumMembers	
animeScore	6.81
animeUsers	259758
animeRank	
animePopularity	361
animeDescription	"Dreaming of changing the world for good, Akuto Sai transfers to Constant Magic Academy where he befriends a virtuous ninja clan member, Junko Hattori. On the way to the academy, they vow to make the world a better place together; however, the situation suddenly takes a turn for the worse upon his arrival—it is prophesied that he will become the Demon King!

As word of his destiny spreads, the school begins to fear him, and Junko's trust in him falters. While Akuto is determined to not let his predicted future control his fate, it seems as though everything he says and does only serve to reinforce the fact that he is destined to be the Demon King. Moreover, he is surrounded by a harem of beautiful girls who each have their own plans for him, ranging from bringing him to justice to simply showering him with love. With his newly awakened powers, Akuto must cope with his constantly growing list of misfortune and fight to prove that his fate is not set in stone.

[Written by MAL Rewrite]"
animeRelated	['Ichiban Ushiro no Daimaou', 'Ichiban Ushiro no Daimaou Specials']
animeCharacters	['Sai, Akuto', 'Korone', 'Soga, Keena', 'Hattori, Junko', 'Etou, Fujiko', 'Miwa, Hiroshi', 'Peterhausen', 'Shiraishi, Lily', 'Teruya, Eiko', 'Kamiyama, Kanna']
animeVoices	['Kondou, Takashi', 'Yuuki, Aoi', 'Toyosaki, Aki', 'Hikasa, Youko', 'Itou, Shizuka', 'Yonaga, Tsubasa', 'Nakata, Jouji', 'Hirohashi, Ryou', 'Tomatsu, Haruka', 'Mizuhara, Kaoru']
animeStaff	[['Watanabe, Takashi', 'Director, Storyboard'], ['Motoyama, Satoshi', 'Sound Director'], ['Andou, Masaomi', 'Episode Director'], ['Takashima, Daisuke', 'Episode Director']]
