animeTitle	Sore Ike! Anpanman: Baikinman to 3 Bai Punch
animeType	Movie
animeNumEpisode	1
releaseDate	1996-07-13 00:00:00
endDate	
animeNumMembers	251
animeScore	
animeUsers	
animeRank	13462
animePopularity	15233
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Currypanman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Batako-san', 'Rollpanna', 'Horrorman', 'Kabao-kun']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Sakuma, Rei', 'Tominaga, Miina', 'Kimotsuki, Kaneta']
animeStaff	[['Ooga, Shunji', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Yanase, Takashi', 'Original Creator'], ['Kondou, Hiroaki', 'Music']]
