animeTitle	b'Keifuku-san'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.91
animeUsers	1352
animeRank	
animePopularity	
animeDescription	b'Incorporating the earlier two parts and adding additional footage as an epilogue, Keifuku-san features the adventures of a young girl in a railway conductor uniform and a floating manta ray as they explore an otherworldly space. The video features direction by Tatsuki, animation by Hirayasu, and art by Yukko (all members of animation studio irodori), as well as the voice talents of Yumiri Hanamori. \n\n(Source: Crunchyroll)'
animeRelated	[]
animeCharacters	[b'Keifuku-san']
animeVoices	[b'\nHanamori, Yumiri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTatsuki\n\nDirector, Animation Director\n\n']
