animeTitle	b'Sugar Apple Fairy Tale'
animeType	Unknown
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'After her mother passes away, Ann decides to become a Silver Sugar Master like her mother\xe2\x80\x94a highly regarded occupation in the country of Highland, where very few masters of the craft exist. Ann leaves for the town of Lewiston, where the royal family holds a sugar sculpture festival. To become a Silver Sugar Master, she has to win the top spot and receive a royal medal.\n\nIn this world, humans treat fairies as slaves and take one of their wings to control them. Ann reluctantly buys a fairy named Shall to be a bodyguard on her way to Lewiston. Ann is torn between setting Shall free, but needing a bodyguard on the dangerous roads to the festival. \n\n(Source: J-Novel Club Forums, edited)'
animeRelated	[b'Sugar Apple Fairy Tale']
animeCharacters	[b'Shall Fen Shall', b'Halford, Ann ']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nAki\n\nOriginal Character Design\n\n', b'\nMikawa, Miri\n\nOriginal Creator\n\n']
