animeTitle	Koi ni Naritai Aquarium
animeType	Music
animeNumEpisode	1
releaseDate	2016-04-27 00:00:00
endDate	
animeNumMembers	7811
animeScore	7.46
animeUsers	4088
animeRank	1749
animePopularity	5863
animeDescription	Music video included with the second single for the Love Live! Sunshine!! anime idol group Aqours.
animeRelated	['Kimi no Kokoro wa Kagayaiteru kai?', 'Happy Party Train', 'Mitaiken Horizon', 'Love Live! Sunshine!!', '']
animeCharacters	['Tsushima, Yoshiko', 'Watanabe, You', 'Kunikida, Hanamaru', 'Sakurauchi, Riko', 'Ohara, Mari', 'Kurosawa, Ruby', 'Kurosawa, Dia', 'Matsuura, Kanan', 'Takami, Chika']
animeVoices	['Kobayashi, Aika', 'Saitou, Shuka', 'Takatsuki, Kanako', 'Aida, Rikako', 'Suzuki, Aina', 'Furihata, Ai', 'Komiya, Arisa', 'Suwa, Nanaka', 'Inami, Anju']
animeStaff	[]
