animeTitle	DRAMAtical Murder: Data_xx_Transitory
animeType	Special
animeNumEpisode	1
releaseDate	2014-12-24 00:00:00
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	13809
animeRank	
animePopularity	3373
animeDescription	"Data xx Transitory is the thirteenth and bonus episode of the DRAMAtical Murder animation. It features all of the bad endings from the original game.

(Source: DRAMAtical Murder Wiki)"
animeRelated	['DRAMAtical Murder']
animeCharacters	['Seragaki, Aoba', 'Noiz', 'Clear', 'Koujaku', 'Ren', 'Mink', 'Virus', 'Trip']
animeVoices	['Kisaichi, Atsushi', 'Hino, Satoshi', 'Nakazawa, Masatomo', 'Takahashi, Hiroki', 'Takeuchi, Ryouta', 'Matsuda, Kenichirou', 'Majima, Junji', 'Higuchi, Tomoyuki']
animeStaff	[['Nitroplus', 'Original Creator'], ['Ayres, Christopher', 'ADR Director'], ['Honyalala', 'Original Character Design']]
