animeTitle	Star Driver the Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2013-02-09 00:00:00
endDate	
animeNumMembers	11743
animeScore	6.63
animeUsers	3289
animeRank	5432
animePopularity	4987
animeDescription	"Star Driver takes place on the fictional Southern Cross Isle. One night, a boy named Takuto washes up on shore swimming from the mainland. He later enrolls in Southern Cross High School as a freshman and makes new friends. 

(Source: Official website) "
animeRelated	['Star Driver: Kagayaki no Takuto']
animeCharacters	['Tsunashi, Takuto', 'Shindou, Sugata', 'Agemaki, Wako', 'Watanabe, Kanako', 'Miyabi, Reiji', 'You, Mizuno', 'Hyou, Matsuri', 'Nichi, Keito', 'You, Marino', 'Aragon, Simone']
animeVoices	['Miyano, Mamoru', 'Fukuyama, Jun', 'Hayami, Saori', 'Niina, Ayano', 'Ishida, Akira', 'Hidaka, Rina', 'Tomatsu, Haruka', 'Koshimizu, Ami', 'Hirohashi, Ryou', 'Taketatsu, Ayana']
animeStaff	[['Igarashi, Takuya', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Asai, Yoshiyuki', 'Episode Director, Assistant Director'], ['Fukuda, Michio', 'Storyboard']]
