animeTitle	Liang Bu Yi
animeType	ONA
animeNumEpisode	24
releaseDate	2021-04-21 00:00:00
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	459
animeRank	
animePopularity	8113
animeDescription	"His Majesty comes close so handsome that flushed queen pushes him reflexively and falls with him together into the pool. Then they swap their bodies. The way to swap back is unknown. The most important thing is that the emperor is quite angry now!! Before every comes to normal, emperor has to deal with his mean imperial concubines that he never knows and the queen has to mediate between those ministeries...

(Source: Webnovel)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
