animeTitle	Topo Gigio
animeType	TV
animeNumEpisode	21
releaseDate	1988-04-27 00:00:00
endDate	1988-09-21 00:00:00
animeNumMembers	
animeScore	6.19
animeUsers	860
animeRank	
animePopularity	9824
animeDescription	"Created by Maria Perego, Topo Gigio has been a beloved character for more than two decades. This animated TV series features numerous exciting stories and introduces many friends.

Topo Gigio is the first mouse astronaut to travel the Milky Way. Can a mouse become an astronaut? Well, Topo Gigio has come from a year 2,388,400 years ahead in the future. He is friendly and can talk with humans. He makes friends with his neighbors including a girl, her pet mouse, cats, and other mice.

(Source: AnimeNfo)"
animeRelated	['Yumemiru Topo Gigio']
animeCharacters	['Gigio, Topo', 'Alunor', 'Kato', 'Gina', 'Mimi', 'Megaro']
animeVoices	['Nakao, Ryusei', 'Yada, Minoru', 'Ogata, Kenichi', 'Yamano, Satoko', 'Mizutani, Yuuko', 'Gouri, Daisuke']
animeStaff	[['Ishiguro, Noboru', 'Director, Storyboard'], ['Koshi, Shigeo', 'Director'], ['Hata, Yoshito', 'Storyboard'], ['Aoyama, Hiroshi', 'Storyboard']]
