animeTitle	Hal & Bons
animeType	OVA
animeNumEpisode	5
releaseDate	2002-10-02 00:00:00
endDate	
animeNumMembers	
animeScore	5.05
animeUsers	240
animeRank	
animePopularity	12483
animeDescription	"Hal and Bons are a pair of beer drinking slacker dogs. They are joined on their sofa by an anthropomorphic rice cake by the name of Mochi who first interviews them and then decides to give up being an interviewer and move in with them instead. Hal and Bons have mixed feelings about this turn of events - Mochi tastes great but he's rather lacking in social skills and he's starting to smell... 

(Source: ANN)"
animeRelated	['New Hal & Bons']
animeCharacters	['Mochi']
animeVoices	[]
animeStaff	[['Ishii, Katsuhito', 'Producer, Director, Script']]
