animeTitle	b'Discode: Ijou Seiai'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	3003
animeRank	
animePopularity	
animeDescription	b'Based on a game by Courreges.\n\nFutaba is a high school girl who has a strong sexual desire and she plays with herself at any place and anytime.\n\nHowever, she has a dark secret that no one knows... \n\n(Source: AnimeNfo) '
animeRelated	[]
animeCharacters	[b'Higuchi, Futaba', b'Izumi, Kyoka', b'Hirano, Kagekiyo']
animeVoices	[b'\nKogure, Ema\nJapanese\n', b'\nOno, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUshijima, Yuji\n\nAnimation Director, Character Design\n\n']
