animeTitle	El
animeType	OVA
animeNumEpisode	2
releaseDate	2001-04-25 00:00:00
endDate	2001-07-25 00:00:00
animeNumMembers	
animeScore	5.49
animeUsers	684
animeRank	
animePopularity	9480
animeDescription	"The survivors of a global atomic war live in a city dedicated to the survival of the human race. El Miles is part of a group in charge with enforcing the law. While the male members sexually torture suspected female members of the Black Widows, El is in charge with protecting a young and pretty pop singer who is openly trying to seduce her. But it could be that El's reality is simply one big illusion.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Parsley', 'Miles, El']
animeVoices	[]
animeStaff	[['Takahashi, Takeo', 'Storyboard, Animation Director, Art Director, Character Design'], ['ELF Corporation', 'Original Creator']]
