animeTitle	Diamond no Ace: Second Season OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2016-08-15 00:00:00
endDate	2016-10-17 00:00:00
animeNumMembers	
animeScore	7.6
animeUsers	3816
animeRank	
animePopularity	5476
animeDescription	"OVAs bundled with 4th and 5th manga volumes of Diamond no Ace Act II.

An epilogue of the Diamond no Ace series."
animeRelated	['Diamond no Ace', 'Diamond no Ace: Second Season']
animeCharacters	['Miyuki, Kazuya', 'Sawamura, Eijun', 'Isashiki, Jun', 'Yoshikawa, Haruno', 'Kominato, Haruichi', 'Takigawa, Chris Yuu', 'Kuramochi, Youichi', 'Yuuki, Tetsuya', 'Todoroki, Raichi', 'Furuya, Satoru']
animeVoices	['Sakurai, Takahiro', 'Oosaka, Ryouta', 'Ono, Yuuki', 'Endou, Yurika', 'Hanae, Natsuki', 'Namikawa, Daisuke', 'Asanuma, Shintaro', 'Shimazaki, Nobunaga']
animeStaff	[['Terajima, Yuuji', 'Original Creator']]
