animeTitle	Hakuouki OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2011-03-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.43
animeUsers	4493
animeRank	
animePopularity	4823
animeDescription	"Two short OVA of Hakuouki distributed to those who purchased all six volumes of the DVD. A fandisc game ""Hakuoki Zuisouroku"" and an official parody ""Hakuoki SSL (a high school parody)"" were animated."
animeRelated	['Hakuouki SSL', 'Hakuouki']
animeCharacters	['Saitou, Hajime', 'Okita, Souji', 'Hijikata, Toshizou', 'Harada, Sanosuke', 'Toudou, Heisuke', 'Yukimura, Chizuru', 'Nagakura, Shinpachi', 'Kazama, Chikage', 'Sannan, Keisuke', 'Yamazaki, Susumu']
animeVoices	[]
animeStaff	[['Kazuki, Yone', 'Original Character Design']]
