animeTitle	Dororonpa!
animeType	TV
animeNumEpisode	115
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13115
animeDescription	"Komachi is a little ghost who died during the Meiji Era and has hung around earth as a wandering spirit girl for over a hundred years. Komachi appears in the room of a young girl named Anko and the two get wrapped up in all sorts of adventures involving other ghosts and demons.

(Source: TV Asahi)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
