animeTitle	Smile Precure! Movie: Ehon no Naka wa Minna Chiguhagu!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	2055
animeRank	
animePopularity	7353
animeDescription	The movie transports the Precure into a world inside a picture book, where they are guided by Nico, a mysterious inhabitant of the picture book world.
animeRelated	['Smile Precure!']
animeCharacters	['Kise, Yayoi', 'Hoshizora, Miyuki', 'Aoki, Reika', 'Hino, Akane', 'Midorikawa, Nao', 'Candy', 'Nico', 'Demon King', 'Monkey', 'Son, Gokuu']
animeVoices	['Kanemoto, Hisako', 'Fukuen, Misato', 'Nishimura, Chinami', 'Tano, Asami', 'Inoue, Marina', 'Ootani, Ikue', 'Hayashibara, Megumi', 'Terasoma, Masaki', 'Kanda, Mika', 'Kobayashi, Yumiko']
animeStaff	[['Kuroda, Narumi', 'Director, Storyboard'], ['Ootsuka, Takashi', 'Storyboard'], ['Yoshida, Hitomi', 'Theme Song Performance'], ['Mitani, Remi', 'Theme Song Performance']]
