animeTitle	b'Doubutsu Kankyou Kaigi'
animeType	b'TV'
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Jean the Chicken']
animeVoices	[b'\nSasaki, Nozomu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHigashi, Junichi\n\nArt Director\n\n', b'\nTetsuhito, Saito\n\nCharacter Design\n\n']
