animeTitle	b'Tanoshii Ekaki Uta'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'An educational DVD series meant to teach children about animals and objects through ekaki uta (drawing song).'
animeRelated	[b'Ki wo Tsukeyou: Douro wa Kiken ga Ippai!', b'Hakkiri Kotowarou: Yuukai Sare Nai zo!', b'Asonde Oboeru Gakushuu DVD']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
