animeTitle	Riding Bean
animeType	OVA
animeNumEpisode	1
releaseDate	1989-02-22 00:00:00
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	8041
animeRank	
animePopularity	4252
animeDescription	"Bean Bandit and his partner Rally Vincent are couriers for hire - transporting clients and delivering goods in his custom sports car ""Roadbuster"" for a hefty price. But when they are hired to escort a kidnapped girl named Chelsea to her home, they don't realize they're being framed for kidnapping as their former clients Semmerling and Carrie plan their escape with Chelsea's father and the ransom money. 

(Source: ANN)"
animeRelated	['Riding Bean', 'Gunsmith Cats', 'Bean Bandit']
animeCharacters	['Vincent, Irene', 'Bandit, Bean', 'Semmerling', 'Carrie', 'Grimwood, Chelsea', 'Dick', 'Bacharach, Percy', 'Waitress', 'Police Chief', 'Grimmwood, George']
animeVoices	['Matsui, Naoko', 'Tanaka, Hideyuki', 'Koyama, Mami', 'Hayashibara, Megumi', 'Honda, Chieko', 'Tobita, Nobuo', 'Tomiyama, Kei', 'Chiko', 'Yara, Yuusaku', 'Hazumi, Jun']
animeStaff	[['Hasegawa, Yasuo', 'Director, Storyboard'], ['Watanabe, Jun', 'Sound Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Sonoda, Kenichi', 'Storyboard, Original Creator, Screenplay, Character Design']]
