animeTitle	Ane Kyun!: Joshi ga Ie ni Kita!
animeType	OVA
animeNumEpisode	1
releaseDate	2014-08-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	3814
animeRank	
animePopularity	5501
animeDescription	"Honoka arrived at home with snacks, juice and candies which are her brother's, named Hirokazu, favorite stuff. However, she noticed there has been an unexpected guest – Akazaki. She attends the same class as Hirokazu and for that matter he invited her for a study session and Honoka misunderstood her as his girlfriend. Will Hirokazu make up with his sister in a secret way while Akazaki is still in their house?

Based on the adult manga by Yuzuki N'.

(Source: BakaBT, edited)"
animeRelated	['Ane Kyun!', 'Iizuka-senpai x Blazer: Ane Kyun! yori The Animation', 'Green Eyes: Ane Kyun! yori The Animation']
animeCharacters	['Honoka', 'Akazaki', 'Hirokazu']
animeVoices	['Kisaki, Mia', 'Kurusugawa, Isamu']
animeStaff	"[['Oota, Hideta', 'Director'], [""Yuzuki N'"", 'Original Creator'], ['Mikiwo, Fujiwara', 'Animation Director, Character Design']]"
