animeTitle	b'Gegege no Kitarou (2007)'
animeType	b'TV'
animeNumEpisode	100
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	974
animeRank	
animePopularity	
animeDescription	b'The classic tale of Gegege no Kitaro told yet again.  The story is the usual in the Gegege no Kitaro series. Kitaro is a boy living in the Gegege Forest/Cemetery (lands where many Yokai roam) with his mostly dead father (who survives only in his eye), Sunakake Babaa, NekoMusume, and Konaki Jiji.  One difference between this Kitaro and all of the others that came before him, is that this one has brown hair instead of the standard grayish silver. '
animeRelated	[b'GeGeGe no Kitarou', b'Hakaba Kitarou', b'Gegege no Kitarou (1968)', b'Gegege no Kitarou (1971)', b'Gegege no Kitarou (1985)', b'Gegege no Kitarou (1996)', b'Gegege no Kitarou: Nippon Bakuretsu', b'Gegege no Kitarou: Youkai Japan Rally 3D', b'Gegege no Kitarou (2018)']
animeCharacters	[b'Kitarou', b'Medama Oyaji', b'Neko Musume', b'Nezumi Otoko', b'Backbeard', b'Nurikabe', b'Ittan Momen', b'Hiderigami', b'Kasha', b'Kuro-Karasu']
animeVoices	[b'\nTakayama, Minami\nJapanese\n', b'\nTanonaka, Isamu\nJapanese\n', b'\nKonno, Hiromi\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n', b'\nShibata, Hidekatsu\nJapanese\n', b'\nTatsuta, Naoki\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nJouno, Masato\n\nProducer\n\n', b'\nKimura, Kyotaro\n\nProducer\n\n', b'\nSakurada, Hiroyuki\n\nProducer\n\n', b'\nKaizawa, Yukio\n\nDirector, Episode Director\n\n']
