animeTitle	b'Miami Guns'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	1647
animeRank	
animePopularity	
animeDescription	"b"" Spoiled rich girl Yao Sakurakouji decides to join the Miami police force to enjoy car chases, gunfights and wanton destruction. The psychotic and not-too-bright Yao is partnered with Lu Amano, the soft-spoken and sharp-tongued daughter of the police chief. Together the dirty duo clean up the streets of Miami and take on a mysterious crime syndicate known only as 'The Organization'. \n\n(Source: ANN)"""
animeRelated	[b'Miami\xe2\x98\x86Guns']
animeCharacters	[b'Amano, Lu', b'Sakurakouji, Yao', b'Amano, Clarence', b'Musume, Kaken', b'Tojo, Nagisa', b'George', b'Anthony', b'Sakurakouji, Father', b'Al', b'Jii']
animeVoices	[b'\nTamura, Yukari\nJapanese\n', b'\nToyoguchi, Megumi\nJapanese\n', b'\nOgata, Mitsuru\nJapanese\n', b'\nTanaka, Rie\nJapanese\n', b'\nOosawa, Chiaki\nJapanese\n', b'\nYokoo, Hiroyuki\nJapanese\n', b'\nTakahashi, Hiroki\nJapanese\n', b'\nHorii, Shingo\nJapanese\n', b'\nNishimura, Tomomichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYonai, Noritomo\n\nProducer\n\n', b'\nKoyama, Yoshitaka\n\nDirector, Episode Director, Script, Storyboard\n\n', b'\nTakahashi, Hideo\n\nSound Director\n\n', b'\nMasaki, Shinichi\n\nEpisode Director, Storyboard\n\n']
