animeTitle	b'Onsen Yousei Hakone-chan'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.85
animeUsers	13035
animeRank	
animePopularity	
animeDescription	b'After many years of dormant rest, a hot springs fairy awakens in modern-day Japan. However, while she slept, she took on the appearance of a young girl. She decides to cooperate with the locals whilst trying to regain her powers.\n\n(Source: LiveChart)'
animeRelated	[b'Onsen Yousei Hakone-chan']
animeCharacters	[b'Hakone', b'Haruna', b'Touya', b'Aki', b'Uomasa', b'Neighborhood Association President', b'Goura', b'Miya', b'Ashinoko']
animeVoices	[b'\nOno, Saki\nJapanese\n', b'\nIchimichi, Mao\nJapanese\n', b'\nMurata, Taishi\nJapanese\n', b'\nAsai, Ayaka\nJapanese\n', b'\nSatou, Haruo\nJapanese\n', b'\nMorisawa, Fumi\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nKuwahara, Yuuki\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYanase, Yuuji\n\nDirector, Chief Animation Director, Character Design\n\n', b'\nMurakami, Momoko\n\nScript\n\n', b'\nTomonaga, Korie\n\nScript\n\n', b'\npetit milady\n\nTheme Song Performance\n\n']
