animeTitle	Yousei Chii-tan☆
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	189
animeScore	
animeUsers	
animeRank	
animePopularity	16244
animeDescription	"The Asian small-clawed otter ""fairy baby"" character debuted on December 15, 2017. The ""eternally 0-year-old"" character has no gender, and they wear the turtle character Kame-chan on their head.

The mascot character is based on a real-world female pet otter of the same name, who gained a social media following big enough to become the honorary tourism ambassador of the city of Susaki, Kochi. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
