animeTitle	Angel Beats!: Another Epilogue
animeType	Special
animeNumEpisode	1
releaseDate	2010-12-22 00:00:00
endDate	
animeNumMembers	223005
animeScore	7.47
animeUsers	132964
animeRank	1719
animePopularity	795
animeDescription	"Disillusioned with the afterlife, a new student causes a scene during a classroom test and expresses his doubts about whether getting good grades can really lead to escaping the school and ascending to Heaven. Afterwards,  he is confronted by the new student council president—a familiar face whose past experiences give him powerful insight into the true nature of the school and first-hand knowledge regarding the futility of rebellion.

[Written by MAL Rewrite]"
animeRelated	['Angel Beats!']
animeCharacters	['Otonashi, Yuzuru', 'Danshi A']
animeVoices	['Kamiya, Hiroshi', 'Akabane, Kenji']
animeStaff	[['ANANT-GARDE EYES', 'Theme Song Arrangement'], ['Maeda, Jun', 'Original Creator'], ['Key', 'Original Creator'], ['Na-Ga', 'Original Character Design']]
