animeTitle	b'Tokyo Marble Chocolate'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	10454
animeRank	
animePopularity	
animeDescription	"b""Serious and generous, but a bit shy, Yuudai has been unsuccessful with the opposite gender. Chizuru is an energetic and cheerful girl, but when it comes to boyfriends, she's been unlucky and clumsy, and never had a steady relationship. This is the first Christmas the couple spends together. Chizuru loves animals and Yuudai plans to give her a rabbit in a box, but it turns out to be... a mini donkey?! As the funny creature escapes, Chizuru goes after it, and Yuudai loses sight of them both!\n\nThe time that should have been spent together...\nThe important feeling that should have been revealed...\nSmall, but precious things that tend to be buried in every day life.\nWhat answer will the two youngsters find while separated from each other?\n\nYuudai and Chizuru\xe2\x80\x94their feelings and the time they spent far from each other are delicately unfolded in this double-sided pure love story told from two different perspectives! \n\n(Source: Production I.G)"""
animeRelated	[b'Tokyo Marble Chocolate']
animeCharacters	"[b'Chizuru', b'Yuudai', b'Miniroba', b'Miki', b""Chizuru's Ex-Boyfriend"", b'Yamada']"
animeVoices	[b'\nMizuki, Nana\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nIwata, Mitsuo\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWada, Jouji\n\nProducer\n\n', b'\nNakatake, Tetsuya\n\nProducer\n\n', b'\nShiotani, Naoyoshi\n\nDirector\n\n', b'\nEbina, Yasunori\n\nSound Director\n\n']
