animeTitle	Zuori Qing Kong
animeType	Movie
animeNumEpisode	1
releaseDate	2018-10-26 00:00:00
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	1743
animeRank	
animePopularity	5542
animeDescription	"In the late 90's, in China, Tu Xiaoyi, an high school student, takes no interest in marks and prefers to play video games with his friend nicknamed ""Peanut."" One day, he was chosen by his teacher to become the class representative with Yao Zhetian, a very cute girl. He will experience his first love and disappointments."
animeRelated	['Zuori Qing Kong', 'Zuori Qing Kong Pilot']
animeCharacters	['Qi, Jingxuan', 'Yao, Zhetian', 'Tu, Xiaoyi', 'Lai, Rong', 'Xu, Zhengkun', 'Chen', 'Hua, Bo']
animeVoices	[]
animeStaff	[['Liu, Min', 'Producer'], ['Xi, Chao', 'Director'], ['Pocket Chocolate', 'Original Creator']]
