animeTitle	b'Yi Nian Yong Heng'
animeType	b'ONA'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.83
animeUsers	1297
animeRank	
animePopularity	
animeDescription	b'One will to create oceans. One will to summon the mulberry fields.\n\nOne will to slaughter countless devils. One will to eradicate innumerable immortals.\n\nOnly my will\xe2\x80\xa6 is eternal.\n\nA Will Eternal tells the tale of Bai Xiaochun, an endearing but exasperating young man who is driven primarily by his fear of death and desire to live forever, but who deeply values friendship and family.\n\n(Source: Novel Updates)'
animeRelated	[b'Yi Nian Yong Heng: Chuan Cheng Pian']
animeCharacters	[b'Xiaochun, Bai', b'Lingfei, Du']
animeVoices	[]
animeStaff	[]
