animeTitle	Attakai tte, Gohoubi da.
animeType	Special
animeNumEpisode	1
releaseDate	2019-12-04 00:00:00
endDate	
animeNumMembers	520
animeScore	5.68
animeUsers	245
animeRank	9801
animePopularity	12905
animeDescription	A televised Japanese McDonald's commercial for their upgraded Gracoro Burgers. Gracoro is short for [potato] gratin and croquette/korokke. The patty is a gratin croquette filled with macaroni and seafood. This year the Gracoro Burgers are now thicker (with more filling) and a beef demi-glace cheese topped version is also available for this winter only. 
animeRelated	['Mirai no Watashi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
