animeTitle	b'Nee Summer!'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.11
animeUsers	10199
animeRank	
animePopularity	
animeDescription	"b'Yuuta Yamauchi is an average high school student preparing for exams through his summer vacation. His older cousin Kei Higashide, who takes pity on him as her ""little brother,"" devotes her time and patience to tutor this relative in need.\n\nOne day, Yuuta manages to take a photo of his classmate and crush, Youko Kaji, as a gust of wind lifts her skirt. When Kei finds out about it, she laughs at Yuuta\'s juvenile infatuation and starts teasing him about his sexual preferences. From words to deeds, she offers him her own grown-up body\xe2\x80\x94and Yuuta quickly takes advantage of the opportunity.\n\nAs summer passes on and the relatives start enjoying more time together, their initially bland tutoring sessions soon turn into a passionate and fiery relationship.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Nee\xe2\x99\xa5Summer!  Nee\xe2\x99\xa5Sama!']
animeCharacters	[b'Higashide, Kei', b'Yamauchi, Yuuta', b'Youko']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSueda, Yoshifumi\n\nDirector, Episode Director, Storyboard\n\n', b'\nSumeragi, Kohaku\n\nOriginal Character Design\n\n', b'\nArtemis.\n\nOriginal Creator\n\n']
