animeTitle	b'Super Street Fighter IV'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	3442
animeRank	
animePopularity	
animeDescription	"b""This OVA will reveal the truth about Juri's evil eye and feature plenty of Cammy and the Dolls.\n\n(Source: Capcom)"""
animeRelated	[b'Street Fighter II: Yomigaeru Fujiwara-Kyou - Toki wo Kaketa Fighter-tachi']
animeCharacters	[b'Chun-Li', b'Han, Juri', b'White, Cammy', b'Guile', b'Seth', b'Viper, Crimson']
animeVoices	[b'\nOrikasa, Fumiko\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nYasumoto, Hiroki\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKizaki, Fuminori\n\nDirector\n\n', b'\nFukasawa, Hideyuki\n\nMusic\n\n', b'\nCapcom\n\nOriginal Creator\n\n', b'\nKanehira, Kazushige\n\nBackground Art\n\n']
