animeTitle	San Ge Heshang
animeType	Movie
animeNumEpisode	1
releaseDate	1980-01-01 00:00:00
endDate	
animeNumMembers	432
animeScore	5.85
animeUsers	174
animeRank	9197
animePopularity	13347
animeDescription	"The film is based on the ancient Chinese proverb ""One monk will shoulder two buckets of water, two monks will share the load, but add a third and no one will want to fetch water."" The film does not contain any dialogues.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
