animeTitle	Kenkou Zenrakei Suieibu Umishou
animeType	TV
animeNumEpisode	13
releaseDate	2007-07-04 00:00:00
endDate	2007-09-26 00:00:00
animeNumMembers	
animeScore	7.14
animeUsers	15237
animeRank	
animePopularity	2992
animeDescription	"Kaname Okiura, a student of Prefectoral Umineko Shougyou High (""Umishou"" for short), joined the school's swimming club in order to learn how to swim, but the club is filled with weirdos, let alone who can teach him swimming. Then, a sunny, happy-go-lucky girl named Amuro Ninagawa who transferred from Okinawa joined the club. Her extraordinary underwater speed and unorthodox swimming style (plus her personal habit of nude swimming—a powerful magnet to teenage boys) surprised every club member, especially Okiura, because she reminds him of a mermaid-like creature he saw only once in his early childhood.

(Source: ANN) "
animeRelated	['Kenkou Zenrakei Suieibu Umishou']
animeCharacters	['Ninagawa, Amuro', 'Orizuka, Momoko', 'Okiura, Kaname', 'Shizuoka, Mirei', 'Ikariya, Masa', 'Ikuta, Maki', 'Kise, Sanae', 'Ninagawa, Masashi', 'Yasu, Chigusa', 'Nanjou, Karena']
animeVoices	['Toyosaki, Aki', 'Nabatame, Hitomi', 'Toyonaga, Toshiyuki', 'Fukui, Yukari', 'Yasumura, Makoto', 'Shimizu, Ai', 'Shintani, Ryouko', 'Fujiwara, Keiji', 'Iguchi, Yuka', 'Takagaki, Ayahi']
animeStaff	[['Soutome, Kouichirou', 'Director, Episode Director, Storyboard, Key Animation'], ['Tanaka, Kazuya', 'Sound Director'], ['Daichi, Akitarou', 'Storyboard'], ['Miyashita, Shinpei', 'Storyboard']]
