animeTitle	Mushrambo (2008)
animeType	OVA
animeNumEpisode	2
releaseDate	2008-09-21 00:00:00
endDate	
animeNumMembers	1541
animeScore	6.43
animeUsers	395
animeRank	6485
animePopularity	10112
animeDescription	"Kokoro wo Chikara ni: The story follows the human girl Yakumo, who awakens from cryogenic sleep in a devastated world destroyed by genetically engineered lifeforms, Enterrans. With the help of a few friendly Enterrans, she goes on a journey to find more human survivors and bring peace between the two factions.

Owaranai Chikyuu: After restoring the world to order, one threat remains for Yakumo and her friends. The cause of the war itself, hidden deep inside a meteorite that crashed at the start of the war, a cause that's about to resurface."
animeRelated	['Mushrambo']
animeCharacters	['Mashura', 'Sago', 'Mashuranbo', 'Shindou, Yakumo', 'Kutal', 'Lucifen']
animeVoices	[]
animeStaff	[['Morishita, Kouzou', 'Producer'], ['Imazawa, Tetsuo', 'Director'], ['Toudou, Izumi', 'Original Creator']]
