animeTitle	b'Uchuu Majin Daikengou'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.01
animeUsers	185
animeRank	
animePopularity	
animeDescription	"b""Giant robot Daikengo flies through space to re-establish galactic peace; on-board prince Ryger, who ran away from his planet Emperius to defeat the menace out of his reign borders, in order to save his people; Cleo, corrupted prime minister's daughter, help him along with two nice little robots, Anike and Otoke. They fight evil Lady Baracross, leading invasion forces, with her assistant Roboleon, wearing a Napoleon style hat. Daikengo is the first robot with scuttles on his mouth. When he opens them, his vampire style teeth are shown and he can spit fire.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Ryger', b'Cleo', b'Lady Baracross', b'Roboleon', b'Bryman', b'Antonian', b'Dr. Guther', b'Fuller', b'Yuger', b'Dulles']
animeVoices	[b'\nIshimaru, Hiroya\nJapanese\n', b'\nHorie, Mitsuko\nJapanese\n', b'\nTomochika, Keiko\nJapanese\n', b'\nAono, Takeshi\nJapanese\n', b'\nNaya, Gorou\nJapanese\n', b'\nGinga, Banjou\nJapanese\n', b'\nShimada, Bin\nJapanese\n', b'\nHazumi, Jun\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nHonda, Yasunori\n\nSound Director\n\n', b'\nYamauchi, Shigeyasu\n\nEpisode Director, Storyboard\n\n', b'\nHorie, Mitsuko\n\nTheme Song Performance\n\n', b""\nKoorogi '73\n\nTheme Song Performance\n\n""]"
