animeTitle	Xiong Chumo: Tanxian Riji
animeType	TV
animeNumEpisode	52
releaseDate	2017-11-28 00:00:00
endDate	2017-12-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16342
animeDescription	"Ninth season of Boonie Bears. 

The Bear Brothers, Briar and Bramble, are back, in a whole new adventure! This time, the logger Vick has finally decided to hang up his chainsaw for good, and to do something to help the forest instead. When the new girl Carly shows up in town, Vick agrees to be her tour guide and help her on a quest to find her lost friend Kitty, who happens to be a Siberian Tiger.

(Source: Official Vimeo Channel)"
animeRelated	['Xiong Chumo: Xiongxiong Leyuan', 'Xiong Chumo Zhi Xiongxiong Leyuan 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
