animeTitle	Shenhai
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10948
animeDescription	"The film Deep Sea is another original animated feature film directed by Tian Xiaopeng after Monkey King: Hero Is Back and it’s also a 3D animation creation of exploration significance for October Media. Although antique stories are popular among Chinese animation works in recent years, Deep Sea will apply a different way, using unique oriental aesthetics to interpret a fantasy story with a modern background.

The film Deep Sea builds a different brand new underwater world, and tells the story of a girl who encounters a unique life journey, seeking and searching in the mysterious underwater world.

(Source: Official Site)"
animeRelated	['Nezha Zhi Mo Tong Jiang Shi', 'Jiang Ziya']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
