animeTitle	Kimetsu no Yaiba
animeType	TV
animeNumEpisode	26
releaseDate	2019-04-06 00:00:00
endDate	2019-09-28 00:00:00
animeNumMembers	2096232
animeScore	8.57
animeUsers	1380152
animeRank	83
animePopularity	12
animeDescription	"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.

When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.

[Written by MAL Rewrite]"
animeRelated	['Kimetsu no Yaiba', 'Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'Kimetsu Gakuen: Valentine-hen']
animeCharacters	['Kamado, Tanjirou', 'Agatsuma, Zenitsu', 'Kamado, Nezuko', 'Hashibira, Inosuke', 'Kochou, Shinobu', 'Tomioka, Giyuu', 'Rengoku, Kyoujurou', 'Tsuyuri, Kanao', 'Kanroji, Mitsuri', 'Tokitou, Muichirou']
animeVoices	['Hanae, Natsuki', 'Shimono, Hiro', 'Kitou, Akari', 'Matsuoka, Yoshitsugu', 'Hayami, Saori', 'Sakurai, Takahiro', 'Hino, Satoshi', 'Ueda, Reina', 'Hanazawa, Kana', 'Kawanishi, Kengo']
animeStaff	[['Kondou, Hikaru', 'Producer, Sound Director, Series Composition'], ['Sotozaki, Haruo', 'Director, Episode Director, Storyboard'], ['Shirai, Toshiyuki', 'Episode Director, Storyboard, Key Animation'], ['Suhara, Takashi', 'Episode Director, Storyboard']]
