animeTitle	b'Oshiri Tantei'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A polite and meticulous super sleuth known as the Butt Detective solves a myriad of baffling mysteries, blowing raspberries in the face of crime.\n\n(Source: Netflix)'
animeRelated	[b'Oshiri Tantei: Mina to Machi no Tuk-tuk Chase', b'Oshiri Tantei Movie 1: Curry Naru Jiken', b'Oshiri Tantei Movie 2: Tentou Mushi Iseki no Nazo', b'Oshiri Tantei Movie 3: Sufure-tou no Himitsu', b'Oshiri Tantei: Puputto Fumutto Kaiketsu Dance', b'Oshiri Tantei 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
