animeTitle	b'Argonavis from BanG Dream!'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	2533
animeRank	
animePopularity	
animeDescription	"b'Ren Nanahoshi is a lonely college student who isn\'t good at communicating with others. He remembers the thrill of watching a live band perform when he was young, and spent most of his days searching for his own identity. One day, while singing karaoke alone, two boys named Yuuto and Wataru discover Ren\'s singing ability. The two agree: ""This is fate. Let\'s start a band!"" Ren promptly runs away, but fate indeed steps in, and their journey begins.\n\n(Source: MAL News)'"
animeRelated	[b'BanG Dream!', b'Goal Line', b'AAside', b'Gin no Yuri', b'Manifesto', b'Banzai Rizing!', b'Hikari no Akuma', b'Argonavis from BanG Dream! Movie', b'Argonavis Movie: Ryuusei no Obligato']
animeCharacters	[b'Nanahoshi, Ren', b'Shiroishi, Banri', b'Matoba, Wataru', b'Goryou, Yuuto', b'Kikyou, Rio', b'Asahi, Nayuta', b'Misono, Reon', b'Akebono, Ryou', b'Satozuka, Kenta', b'Ujigawa, Shuu']
animeVoices	[b'\nItou, Masahiro\nJapanese\n', b'\nHashimoto, Shouhei\nJapanese\n', b'\nMaeda, Seiji\nJapanese\n', b'\nHyuuga, Daisuke\nJapanese\n', b'\nMorishima, Shuuta\nJapanese\n', b'\nOgasawara, Jin\nJapanese\n', b'\nMano, Takumi\nJapanese\n', b'\nAkiya, Hiroto\nJapanese\n', b'\nHashimoto, Shinichi\nJapanese\n', b'\nSakakihara, Yuuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsuura, Hiroaki\n\nProducer\n\n', b'\nNishikiori, Hiroshi\n\nDirector\n\n', b'\nHirasawa, Hisayoshi\n\nSound Director\n\n', b'\nMouri, Nobuhiro\n\nScript, Series Composition\n\n']
