animeTitle	Hataraku Saibou Black
animeType	ONA
animeNumEpisode	1
releaseDate	2020-01-04 00:00:00
endDate	
animeNumMembers	5837
animeScore	6.65
animeUsers	1458
animeRank	5355
animePopularity	6623
animeDescription	"A special animated commercial first released on Twitter to promote the manga. It was then released on Kodansha's official YouTube channel on January 15.

Set inside an unhealthy body, Hataraku Saibou Black features the anthropomorphized cells of the human immune system as they attempt to keep their ailing world alive."
animeRelated	['Hataraku Saibou Black', 'Hataraku Saibou Black (TV)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
