animeTitle	b'M\xc3\xa4rchen M\xc3\xa4dchen'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.4
animeUsers	11828
animeRank	
animePopularity	
animeDescription	"b""Hazuki Kagimura is a socially awkward girl with no friends; and having been recently adopted, she struggles to connect with her new family as well. Her only refuge from this painful reality is between the pages of stories where her vivid imagination allows her to live out her dreams of friendship and adventure. However, one day, an old and mysterious text appears in her book bag. On her way back to the library to return it, Hazuki sees a familiar girl who is seemingly invisible to everyone but her. Deciding to follow her, Hazuki is led a hidden library where a world she thought only existed in her dreams awaits her. \n\nM\xc3\xa4rchen M\xc3\xa4dchen tells the story of Hazuki's meeting with Shizuka Tsuchimikado, her very first friend, and discovering she has been chosen by the original print of Cinderella to become a powerful mage known as an Origin Master. Hazuki enrolls at Kuzunoha Girl's Magic Academy where she learns to conquer her fears and believe in her ability to create her own amazing story.\n\n[Written by MAL Rewrite]\n"""
animeRelated	[b'M\xc3\xa4rchen M\xc3\xa4dchen', b'M\xc3\xa4rchen M\xc3\xa4dchen Specials']
animeCharacters	[b'Kagimura, Hazuki', b'Qazan, Yumilia', b'Tsuchimikado, Shizuka', b'Kasumi, Ariko', b'Arier, Agathe', b'Sadohara, Mai', b'Boyarskii, Tatiana', b'Mahakali', b'Upierzyca', b'Rasputin, Maria']
animeVoices	[b'\nKusunoki, Tomori\nJapanese\n', b'\nLynn\nJapanese\n', b'\nSuegara, Rie\nJapanese\n', b'\nHondo, Kaede\nJapanese\n', b'\nKakuma, Ai\nJapanese\n', b'\nNitta, Hiyori\nJapanese\n', b'\nOzawa, Ari\nJapanese\n', b'\nKamakura, Yuna\nJapanese\n', b'\nAkao, Hikaru\nJapanese\n', b'\nOhtsu, Airi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSaitou, Hisashi\n\nDirector\n\n', b'\nUeda, Shigeru\n\nDirector\n\n', b'\nMorishita, Hiroto\n\nSound Director\n\n', b'\nKawabata, Erkin\n\nStoryboard\n\n']
