animeTitle	Golden Douga Gekijou
animeType	ONA
animeNumEpisode	33
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	991
animeRank	
animePopularity	7270
animeDescription	Short anime series of Golden Kamuy streamed on the official website.
animeRelated	['Golden Kamuy', 'Golden Kamuy 2nd Season', 'Golden Kamuy 3rd Season']
animeCharacters	['Shiraishi, Yoshitake', 'Koito, Otonoshin', 'Ienaga, Kano', 'Usami, Tokishige']
animeVoices	['Itou, Kentarou', 'Konishi, Katsuyuki', 'Matsuoka, Yoshitsugu']
animeStaff	[['Kinutani, Soushi', 'Episode Director, Key Animation'], ['Noda, Satoru', 'Original Creator']]
