animeTitle	b'Matierica'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A daring film that pierces through the hearts of viewers by discarding the charming characters, interesting stories, beautiful drawings, fluid movement and pleasing music associated with anime, while remaining firmly in the medium of animation.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
