animeTitle	b'Soukou Kihei Votoms'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.7
animeUsers	4539
animeRank	
animePopularity	
animeDescription	"b""A century of bloodshed between warring star systems has plunged nearly 200 worlds into the flames of war. Now, an uneasy truce has settled across the Astragius Galaxy...\n\nChirico Cuvie, a special forces powered-armor pilot is suddenly transferred into a unit engaged in a secret and highly illegal mission to steal military secrets\xe2\x80\x94from their own military! Now he's on the run...from his own army!\n\nUnsure of his loyalties and to cover their own tracks, Chirico is left behind to die in space. Surviving by luck, the renegade is now hunted by both the conspirators and military intelligence.\n\nHe is driven by the haunting image of a mysterious and beautiful woman\xe2\x80\x94the objective of their mission, and his sole clue to unraveling their treacherous scheme. But the conspirators will do anything to preserve their mysterious agenda...\n\n(Source: AnimeNfo)"""
animeRelated	"[b'Soukou Kihei Votoms', b'Kikou Ryohei Mellowlink', b'Soukou Kihei Votoms: Case;Irvine', b'Votoms Finder', b'Soukou Kihei Votoms: The Last Red Shoulder', b'Soukou Kihei Votoms: Big Battle', b'Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots', b'Soukou Kihei Votoms: Pailsen Files', b'Soukou Kihei Votoms: Pailsen Files Movie', b'Soukou Kihei Votoms: Kakuyaku taru Itan', b'Soukou Kihei Votoms Recaps', b'Soukou Kihei Votoms Vol.I: Stories of the ""A.T.Votoms""', b'Soukou Kihei Votoms Vol.II: Highlights from the ""A.T.Votoms""']"
animeCharacters	[b'Cuvie, Chirico', b'Fyana', b'Rochina, Jean Paul', b'Vartla, Vanilla', b'Vartla, Coconna', b'Potaria, Pol', b'Gotho, Bouleuse', b'Ypsilon', b'Nu, Gon', b'Yu, Kan']
animeVoices	[b'\nGouda, Hozumi\nJapanese\n', b'\nYanaga, Kazuko\nJapanese\n', b'\nGinga, Banjou\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n', b'\nKawanami, Yoko\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nTomita, Kousei\nJapanese\n', b'\nKami, Kyounosuke\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nHirose, Masashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Ryousuke\n\nDirector, Episode Director, Original Creator\n\n', b'\nYatabe, Katsuyoshi\n\nEpisode Director\n\n', b'\nKase, Mitsuko\n\nEpisode Director, Storyboard\n\n', b'\nTsuda, Yoshizou\n\nEpisode Director, Storyboard\n\n']
