animeTitle	Night Walker: Mayonaka no Tantei
animeType	TV
animeNumEpisode	12
releaseDate	1998-07-09 00:00:00
endDate	1998-09-23 00:00:00
animeNumMembers	17584
animeScore	6.94
animeUsers	6274
animeRank	4028
animePopularity	4236
animeDescription	"Shido Tatsuhiko is not only a private eye... he is also a vampire with no real memory of his past. Joined by Yayoi Matsunaga, a female government agent, Riho Yamazaki, an orphaned teenage girl working as his girl Friday and Guni, a little green imp, Shido must face demonic creatures known as Nightbreed. Meanwhile, Cain, the vampire who made him what he is now, is seeking him...

(Source: ANN)"
animeRelated	[]
animeCharacters	['Shidou, Tatsuhiko', 'Yamazaki, Riho', 'Matsunaga, Yayoi', 'Cain', 'Guni', 'Asahina, Yoko', 'Angel', 'Bait', 'Akiba, Koichi', 'Miharu']
animeVoices	['Yamazaki, Takumi', 'Sakamoto, Maaya', 'Shinohara, Emi', 'Tanaka, Hideyuki', 'Ootani, Ikue', 'Kikuchi, Takako', 'Morikubo, Shoutarou', 'Seki, Toshihiko', 'Sakaguchi, Kouichi', 'Kida, Ayumi']
animeStaff	[['Kagawa, Yutaka', 'Director'], ['Ryota, Yamaguchi', 'Script, Series Composition'], ['Sugishima, Kunihisa', 'Storyboard'], ['Kondou, Nobuhiro', 'Storyboard']]
