animeTitle	DD Hokuto no Ken
animeType	TV
animeNumEpisode	12
releaseDate	2011-01-12 00:00:00
endDate	2011-04-06 00:00:00
animeNumMembers	4419
animeScore	6.13
animeUsers	1465
animeRank	8030
animePopularity	7382
animeDescription	"Super-deformed version of Hokuto no Ken, Buronson & Hara Tetsuo's post-apocalyptic fighting manga.

Note: The ""DD"" stands for ""Design Deformation,"" since the characters are only ""two-heads-tall.""

(Source: AniDB) "
animeRelated	['DD Hokuto no Ken', 'DD Hokuto no Ken (2013)']
animeCharacters	['Kenshirou', 'Raou', 'Toki', 'Rei', 'Jagi', 'Souther', 'Juuza', 'Shuu', 'Shin', 'Bat']
animeVoices	['Taketora']
animeStaff	[]
