animeTitle	b'Jaku-Chara Tomozaki-kun Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	12177
animeRank	
animePopularity	
animeDescription	b'Included with the third and fourth volumes of the Blu-ray/DVD volumes.'
animeRelated	[b'Jaku-Chara Tomozaki-kun']
animeCharacters	[b'Hinami, Aoi', b'Tomozaki, Fumiya', b'Nanami, Minami', b'Kikuchi, Fuuka', b'Izumi, Yuzu', b'Natsubayashi, Hanabi', b'Mizusawa, Takahiro', b'Takei']
animeVoices	[b'\nKanemoto, Hisako\nJapanese\n', b'\nSatou, Gen\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYaku, Yuuki\n\nScript, Original Creator\n\n']
