animeTitle	Yuusha Shirei Dagwon: Suishou no Hitomi no Shounen
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.88
animeUsers	192
animeRank	
animePopularity	12062
animeDescription	A Continuation of the original Dagwon Series. Peace is restored and the original cast return to their normal life. The sudden appearance of a new mysterious boy that appeared and was chase by no other than their own ally from the past demanding the Dagwon crew to turn the boy in. The dead from the past also make an appearance in this OVA. So the new adventure and excitement begin a new.
animeRelated	['Yuusha Shirei Dagwon']
animeCharacters	['Kuroiwa, Geki', 'Utsumi, Rai', 'Hashiba, Ryu', 'Kazamatsuri, Yoku', 'Sawamura, Shin', 'Hirose, Kai']
animeVoices	[]
animeStaff	[['Mochizuki, Tomomi', 'Director, Storyboard'], ['Chiba, Kouichi', 'Sound Director'], ['Kitajima, Hiroaki', 'Script'], ['Yatate, Hajime', 'Original Creator']]
