animeTitle	Tenjou Tenge: The Ultimate Fight
animeType	OVA
animeNumEpisode	2
releaseDate	2005-03-16 00:00:00
endDate	
animeNumMembers	39343
animeScore	7.05
animeUsers	21817
animeRank	3578
animePopularity	2834
animeDescription	"Continues from where the original series left off. The characters try to settle their conflicts with each other in this 2 episode OAV. Aya confronts her sister Maya about Nagi, while Nagi receives a challenge from Mitsuomi to fight to the death. Meanwhile, Bob trains as hard as he can for the tournament. 

(Source: ANN)"
animeRelated	['Tenjou Tenge']
animeCharacters	['Natsume, Maya', 'Takayanagi, Masataka', 'Nagi, Souichirou', 'Natsume, Aya', 'Makihara, Bob', 'Tawara, Bunshichi', 'Natsume, Shin', 'Takayanagi, Mitsuomi', 'Isuzu, Emi', 'Nagi, Makiko']
animeVoices	['Hisakawa, Aya', 'Seki, Tomokazu', 'Hoshi, Souichirou', 'Chihara, Minori', 'Miki, Shinichiro', 'Yao, Kazuki', 'Morikawa, Toshiyuki', 'Nanao, Haruhi', 'Amano, Yuri']
animeStaff	[['Kawase, Toshifumi', 'Director, Storyboard'], ['Honda, Yasunori', 'Sound Director'], ['Kawamura, Kenichi', 'Episode Director, Assistant Director'], ['Oh! Great', 'Original Creator']]
