animeTitle	b'Pokemon Best Wishes!'
animeType	b'TV'
animeNumEpisode	84
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	46409
animeRank	
animePopularity	
animeDescription	"b""As with both the Advanced Generation and Diamond & Pearl series before it, the Best Wishes! series begins with only Satoshi, headed off to the Isshu region, located far away from Kanto, Johto, Houen, and Sinnoh, with his Pikachu. After he meets up with the new trainer and rival Shooty and the region's Professor Araragi, he gains traveling companions in Iris, a girl from a town known for its Dragon Pok\xc3\xa9mon, and Dent, Pok\xc3\xa9mon Connoisseur and the Grass Pok\xc3\xa9mon specialist of the three Sanyou City Gym Leaders. """
animeRelated	[b'Pokemon Diamond & Pearl', b'Pokemon Movie 14 White: Victini to Kuroki Eiyuu Zekrom', b'Pokemon Movie 14 Black: Victini to Shiroki Eiyuu Reshiram', b'Pokemon: Pikachu no Summer Bridge Story', b'Pokemon Best Wishes! Season 2', b'Pokemon Black and White 2: Introduction Movie', b'Pokemon Generations']
animeCharacters	[b'Pikachu', b'Satoshi', b'Dent', b'Iris', b'Kojirou', b'Musashi', b'Nyarth', b'Sakaki', b'Kamitsure', b'Bel']
animeVoices	[b'\nOotani, Ikue\nJapanese\n', b'\nMatsumoto, Rica\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nInuyama, Inuko\nJapanese\n', b'\nMiyake, Kenta\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n', b'\nItou, Shizuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuyama, Kunihiko\n\nDirector, Storyboard\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nYajima, Tetsuo\n\nEpisode Director, Storyboard\n\n', b'\nTomioka, Atsuhiro\n\nScript, Series Composition\n\n']
