animeTitle	Shishou Series
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	6176
animeDescription	"The story of the original novels revolves around a protagonist who experiences various spiritual encounters due to his upperclassman at his college's club, the ""master teacher"" in the series title that has spiritual sensitivity.

(Source: ANN)"
animeRelated	['Shishou Series']
animeCharacters	['Shishou', 'Boku', 'Kyousuke', 'Kanako', 'Onkyou', 'Chino, Ariku']
animeVoices	[]
animeStaff	[['Yoshimoto, Kinji', 'Director'], ['Shimizu, Atsushi', 'Director'], ['Konaka, Chiaki', 'Script'], ['Asano, Naoyuki', 'Animation Director, Character Design']]
