animeTitle	b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho'
animeType	b'TV'
animeNumEpisode	112
releaseDate	
endDate	
animeNumMembers	
animeScore	8.45
animeUsers	249156
animeRank	
animePopularity	
animeDescription	"b""One fateful day, Yuusuke Urameshi, a 14-year-old delinquent with a dim future, gets a miraculous chance to turn it all around when he throws himself in front of a moving car to save a young boy. His ultimate sacrifice is so out of character that the authorities of the spirit realm are not yet prepared to let him pass on. Koenma, heir to the throne of the spirit realm, offers Yuusuke an opportunity to regain his life through completion of a series of tasks. With the guidance of the death god Botan, he is to thwart evil presences on Earth as a Spirit Detective.\n\nTo help him on his venture, Yuusuke enlists ex-rival Kazuma Kuwabara, and two demons, Hiei and Kurama, who have criminal pasts. Together, they train and battle against enemies who would threaten humanity's very existence.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho', b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho (Movie)', b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho: Meikai Shitou-hen - Honoo no Kizuna', b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho: Mu Mu Hakusho - Nightmare Hakusho', b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho: Two Shots/Noru ka Soru ka', b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou', b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho: Eizou Hakusho II', b'Yuu\xe2\x98\x86Yuu\xe2\x98\x86Hakusho Picture Drama']
animeCharacters	[b'Urameshi, Yuusuke', b'Hiei', b'Kurama', b'Kuwabara, Kazuma', b'Botan', b'Toguro, Younger', b'Sensui, Shinobu', b'Genkai', b'Koenma', b'Jin']
animeVoices	[b'\nSasaki, Nozomu\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nOgata, Megumi\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n', b'\nMiyuki, Sanae\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nTanaka, Mayumi\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nCook, Justin\n\nProducer, ADR Director\n\n', b'\nWatson, Barry\n\nProducer\n\n', b'\nKimura, Kyotaro\n\nProducer\n\n', b'\nAbe, Noriyuki\n\nDirector, Episode Director, Storyboard, Animation Director\n\n']
